timestamp,hr,sdnn,rmssd
2025-11-15 00:44:48,49.0,141.42,212.13
2025-11-15 00:44:48,48.6,141.42,212.13
2025-11-15 00:44:48,48.3,141.42,212.13
2025-11-15 00:44:48,48.0,141.42,212.13
2025-11-15 00:44:48,47.7,141.42,212.13
2025-11-15 00:44:48,47.4,141.42,212.13
2025-11-15 00:44:48,47.1,141.42,212.13
2025-11-15 00:44:48,58.4,135.4,177.43
2025-11-15 00:44:48,58.1,135.4,177.43
2025-11-15 00:44:48,57.7,135.4,177.43
2025-11-15 00:44:48,57.3,135.4,177.43
2025-11-15 00:44:49,57.0,135.4,177.43
2025-11-15 00:44:49,56.6,135.4,177.43
2025-11-15 00:44:49,56.2,135.4,177.43
2025-11-15 00:44:49,55.9,129.9,182.57
2025-11-15 00:44:49,55.6,129.9,182.57
2025-11-15 00:44:49,55.2,129.9,182.57
2025-11-15 00:44:49,54.9,129.9,182.57
2025-11-15 00:44:49,54.5,129.9,182.57
2025-11-15 00:44:49,54.2,129.9,182.57
2025-11-15 00:44:49,53.9,129.9,182.57
2025-11-15 00:44:49,53.6,129.9,182.57
2025-11-15 00:44:49,53.3,129.9,182.57
2025-11-15 00:44:49,52.9,129.9,182.57
2025-11-15 00:44:49,52.6,129.9,182.57
2025-11-15 00:44:49,52.3,129.9,182.57
2025-11-15 00:44:49,52.0,129.9,182.57
2025-11-15 00:44:49,51.7,129.9,182.57
2025-11-15 00:44:49,51.4,129.9,182.57
2025-11-15 00:44:49,51.1,129.9,182.57
2025-11-15 00:44:49,50.8,129.9,182.57
2025-11-15 00:44:49,50.6,129.9,182.57
2025-11-15 00:44:49,50.3,129.9,182.57
2025-11-15 00:44:49,50.0,129.9,182.57
2025-11-15 00:44:49,59.7,129.9,182.57
2025-11-15 00:44:49,59.3,129.9,182.57
2025-11-15 00:44:49,59.0,129.9,182.57
2025-11-15 00:44:49,58.7,129.9,182.57
2025-11-15 00:44:49,58.4,129.9,182.57
2025-11-15 00:44:49,58.1,129.9,182.57
2025-11-15 00:44:49,57.8,129.9,182.57
2025-11-15 00:44:50,57.4,129.9,182.57
2025-11-15 00:44:50,57.1,129.9,182.57
2025-11-15 00:44:50,56.8,129.9,182.57
2025-11-15 00:44:50,56.5,129.9,182.57
2025-11-15 00:44:50,56.2,129.9,182.57
2025-11-15 00:44:50,56.0,129.9,182.57
2025-11-15 00:44:50,55.7,129.9,182.57
2025-11-15 00:44:50,55.4,129.9,182.57
2025-11-15 00:44:50,55.1,129.9,182.57
2025-11-15 00:44:50,54.8,129.9,182.57
2025-11-15 00:44:50,54.5,129.9,182.57
2025-11-15 00:44:50,54.3,129.9,182.57
2025-11-15 00:44:50,54.0,129.9,182.57
2025-11-15 00:44:50,53.7,129.9,182.57
2025-11-15 00:44:50,53.5,129.9,182.57
2025-11-15 00:44:50,53.2,129.9,182.57
2025-11-15 00:44:50,52.9,129.9,182.57
2025-11-15 00:44:50,52.7,129.9,182.57
2025-11-15 00:44:50,52.4,129.9,182.57
2025-11-15 00:44:50,52.2,129.9,182.57
2025-11-15 00:44:50,51.9,129.9,182.57
2025-11-15 00:44:50,51.7,129.9,182.57
2025-11-15 00:44:50,51.4,129.9,182.57
2025-11-15 00:44:50,51.2,129.9,182.57
2025-11-15 00:44:50,50.9,129.9,182.57
2025-11-15 00:44:50,59.2,129.9,182.57
2025-11-15 00:44:50,58.9,129.9,182.57
2025-11-15 00:44:50,58.6,129.9,182.57
2025-11-15 00:44:50,58.3,129.9,182.57
2025-11-15 00:44:50,58.1,129.9,182.57
2025-11-15 00:44:51,57.8,129.9,182.57
2025-11-15 00:44:51,57.5,129.9,182.57
2025-11-15 00:44:51,57.3,129.9,182.57
2025-11-15 00:44:51,57.0,129.9,182.57
2025-11-15 00:44:51,56.8,129.9,182.57
2025-11-15 00:44:51,56.5,129.9,182.57
2025-11-15 00:44:51,56.2,129.9,182.57
2025-11-15 00:44:51,56.0,129.9,182.57
2025-11-15 00:44:51,55.8,129.9,182.57
2025-11-15 00:44:51,55.5,129.9,182.57
2025-11-15 00:44:51,55.3,129.9,182.57
2025-11-15 00:44:51,55.0,129.9,182.57
2025-11-15 00:44:51,54.8,129.9,182.57
2025-11-15 00:44:51,54.5,129.9,182.57
2025-11-15 00:44:51,54.3,129.9,182.57
2025-11-15 00:44:51,54.1,129.9,182.57
2025-11-15 00:44:51,53.8,129.9,182.57
2025-11-15 00:44:51,53.6,164.9,253.86
2025-11-15 00:44:51,53.4,173.65,277.69
2025-11-15 00:44:51,53.2,184.01,303.32
2025-11-15 00:44:51,52.9,185.26,311.63
2025-11-15 00:44:51,52.7,197.83,339.28
2025-11-15 00:44:51,52.5,197.83,339.28
2025-11-15 00:44:51,52.3,199.69,338.3
2025-11-15 00:44:51,52.1,188.23,311.27
2025-11-15 00:44:51,51.9,169.6,261.62
2025-11-15 00:44:51,51.6,158.31,221.11
2025-11-15 00:44:51,51.4,158.31,221.11
2025-11-15 00:44:51,51.2,155.95,206.02
2025-11-15 00:44:51,51.0,155.95,206.02
2025-11-15 00:44:52,50.8,155.95,206.02
2025-11-15 00:44:52,50.6,158.31,221.11
2025-11-15 00:44:52,50.4,158.31,221.11
2025-11-15 00:44:52,50.2,162.92,239.91
2025-11-15 00:44:52,50.0,162.92,239.91
2025-11-15 00:44:52,49.8,169.6,261.62
2025-11-15 00:44:52,49.6,169.6,261.62
2025-11-15 00:44:52,49.4,169.6,261.62
2025-11-15 00:44:52,49.2,169.6,261.62
2025-11-15 00:44:52,49.2,162.92,239.91
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,668.79,1203.24
2025-11-15 00:44:52,49.2,216.55,307.02
2025-11-15 00:44:52,49.2,225.27,317.4
2025-11-15 00:44:52,49.2,228.07,318.56
2025-11-15 00:44:52,49.2,228.07,318.56
2025-11-15 00:44:52,49.2,228.07,318.56
2025-11-15 00:44:52,49.2,236.95,328.58
2025-11-15 00:44:52,49.2,236.95,328.58
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.78,1214.54
2025-11-15 00:44:52,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,678.42,1233.15
2025-11-15 00:44:53,49.2,678.42,1233.15
2025-11-15 00:44:53,49.2,678.42,1233.15
2025-11-15 00:44:53,49.2,678.42,1233.15
2025-11-15 00:44:53,49.2,678.42,1233.15
2025-11-15 00:44:53,49.2,678.42,1233.15
2025-11-15 00:44:53,49.2,715.24,1133.91
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,711.96,1125.38
2025-11-15 00:44:53,49.2,711.96,1125.38
2025-11-15 00:44:53,49.2,711.96,1125.38
2025-11-15 00:44:53,49.2,711.96,1125.38
2025-11-15 00:44:53,49.2,711.96,1125.38
2025-11-15 00:44:53,49.2,711.96,1125.38
2025-11-15 00:44:53,49.2,709.73,1132.35
2025-11-15 00:44:53,49.2,715.24,1133.91
2025-11-15 00:44:53,49.2,679.86,1057.48
2025-11-15 00:44:53,49.2,715.24,1133.91
2025-11-15 00:44:53,49.2,623.54,1148.11
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,673.23,1221.84
2025-11-15 00:44:53,49.2,625.5,1158.46
2025-11-15 00:44:53,49.2,626.58,1162.21
2025-11-15 00:44:53,49.2,626.58,1162.21
2025-11-15 00:44:53,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,666.46,1081.45
2025-11-15 00:44:54,49.2,666.13,1084.89
2025-11-15 00:44:54,49.2,666.13,1084.89
2025-11-15 00:44:54,49.2,666.13,1084.89
2025-11-15 00:44:54,49.2,666.13,1084.89
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,625.5,1158.46
2025-11-15 00:44:54,49.2,625.5,1158.46
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:54,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,626.58,1162.21
2025-11-15 00:44:55,49.2,586.66,1079.61
2025-11-15 00:44:55,49.2,586.66,1079.61
2025-11-15 00:44:55,49.2,586.66,1079.61
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:55,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,587.23,1080.71
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,558.31,1012.01
2025-11-15 00:44:56,49.2,558.31,1012.01
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:56,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,532.54,955.3
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,559.76,1012.63
2025-11-15 00:44:57,49.2,535.63,954.72
2025-11-15 00:44:57,49.2,535.63,954.72
2025-11-15 00:44:57,49.2,534.42,954.78
2025-11-15 00:44:57,49.2,533.39,954.97
2025-11-15 00:44:57,49.2,533.39,954.97
2025-11-15 00:44:57,49.2,533.39,954.97
2025-11-15 00:44:57,49.2,533.39,954.97
2025-11-15 00:44:58,49.2,533.39,954.97
2025-11-15 00:44:58,49.2,568.44,935.18
2025-11-15 00:44:58,49.2,572.78,937.85
2025-11-15 00:44:58,49.2,538.61,971.13
2025-11-15 00:44:58,49.2,538.61,971.13
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,554.62,988.33
2025-11-15 00:44:58,49.2,554.62,988.33
2025-11-15 00:44:58,49.2,554.62,988.33
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,538.61,971.13
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,549.18,982.82
2025-11-15 00:44:58,49.2,551.82,985.51
2025-11-15 00:44:58,49.2,551.82,985.51
